ID;Word;Rules;Key1;Key2;Key3;Key4;Key5;Key6;Key7;Key8;Key9;Key10;Key11;Key12;Key13;Key14;Key15;Stop1;Stop2;Stop3;Stop4;Stop5;Rules_FILTER;FILTER_brand
18;WEZZER DIESEL 10W-40;1;10W40;ci-4;;;;;;;;;;;;;;4t;;;;;1;WEZZER
19;WEZZER DIESEL 15W-40;1;15W-40;дизель;;;;;;;;;;;;;;;;;;;1;WEZZER
20;WEZZER DIESEL 15W-40;1;15W-40;diesel;;;;;;;;;;;;;;;;;;;1;WEZZER
21;WEZZER DIESEL 15W-40;0;15W40;;;;;;;;;;;;;;;;;;;;1;WEZZER
22;WEZZER М-10Г2К;0;М-10Г2К;М10Г2К;;;;;;;;;;;;;;;;;;;1;WEZZER
23;WEZZER М-10ДМ;0;М-10ДМ;М10ДМ;м-10 дм;;;;;;;;;;;;;;;;;;1;WEZZER
24;WEZZER М-8ДМ;0;М8ДМ;;;;;;;;;;;;;;;;;;;;1;WEZZER
25;WEZZER М-8Г2К;0;М-8Г2К;;;;;;;;;;;;;;;;;;;;1;WEZZER
26;WEZZER ТСп-15К;0;ТСп-15К;;;;;;;;;;;;;;;;;;;;1;WEZZER
27;WEZZER ТАД-17;0;ТАД-17;тад 17;80W-90;80W90;80/90;;;;;;;;;;;;;;;;1;WEZZER
28;WEZZER ТЭП-15;0;ТЭП-15;тэп 15;;;;;;;;;;;;;;;;;;;1;WEZZER
29;WEZZER 75W-90;0;75W-90;75W90;75/90;75х90;;;;;;;;;;;;;;;;;1;WEZZER
30;WEZZER SUPER 2T;0;2T;2т;;;;;;;;;;;;;;;;;;;1;WEZZER
31;WEZZER SUPER 4T;0;4T;4т;;;;;;;;;;;;;;;;;;;1;WEZZER
32;WEZZER SUPER 4T;1;10w40;4ых тактное;;;;;;;;;;;;;;;;;;;1;WEZZER
33;WEZZER ANTIFREEZE BLUE;1;антифриз;синий;;;;;;;;;;;;;;;;;;;1;WEZZER
34;WEZZER ANTIFREEZE GREEN G-11;1;антифриз;зелен;;;;;;;;;;;;;;;;;;;1;WEZZER
35;WEZZER ANTIFREEZE YELLOW;1;антифриз;желтый;;;;;;;;;;;;;;;;;;;1;WEZZER
36;WEZZER ANTIFREEZE RED G-12;1;антифриз;красн;;;;;;;;;;;;;;;;;;;1;WEZZER
37;WEZZER Тосол А-40С;0;тосол;;;;;;;;;;;;;;;;;;;;1;WEZZER
38;WEZZER ДОТ-3;0;ДОТ-3;dот-3;;;;;;;;;;;;;;;;;;;1;WEZZER
39;WEZZER ДОТ-4;0;ДОТ-4;дот 4;дот4;дот -4;dot-4;dот-4;dot 4;dot4;;;;;;;;;;;;;1;WEZZER
40;WEZZER ЛИТОЛ-24;1;литол;;;;;;;;;;;;;;;;;;;;1;WEZZER
41;WEZZER СОЛИДОЛ жировой;1;солидол;;;;;;;;;;;;;;;;;;;;1;WEZZER
42;WEZZER Смазка графитная;1;графитная;;;;;;;;;;;;;;;;;;;;1;WEZZER
43;WEZZER Шрус-4;1;Шрус;;;;;;;;;;;;;;;;;;;;1;WEZZER
44;WEZZER ATF Dexron DII;0;dexron ii;dextron ii;atf d-ii;atf ii;atf iid;dexron 2;atf 2;;;;;;;;;dexron iii;dextron iii;atf d-iii;atf iii;;1;WEZZER
45;WEZZER ATF Dexron DIII;0;dexron iii;dextron iii;dextron-iii;dexron diii;dexron lll;dextron 3;dx lli;atf iii;atf 3;atf d-iii;atf d iii;atf  iiid;dexron 3;d - lll;dx3;;;;;;1;WEZZER
44;OPET FULLTECH 5W-30;1;FULLTECH;5W-30;;;;;;;;;;;;;;;;;;;1;OPET
45;OPET FULLTECH 5W-30;1;FULLTECH;5W30;;;;;;;;;;;;;;;;;;;1;OPET
46;OPET FULLTECH LD 5W-40;1;FULLTECH LD;5W-40;;;;;;;;;;;;;;;;;;;1;OPET
47;OPET FULLTECH LD 5W-40;1;FULLTECH LD;5W40;;;;;;;;;;;;;;;;;;;1;OPET
48;OPET FULLMAX C3 5W-40;1;FULLMAX;5W-40;;;;;;;;;;;;;;;;;;;1;OPET
49;OPET FULLMAX C3 5W-40;1;FULLMAX;5W40;;;;;;;;;;;;;;;;;;;1;OPET
50;OPET FULLMAX C3 5W-40;1;5W-40;C3;;;;;;;;;;;;;;;;;;;1;OPET
51;OPET FULLMAX RN 5W-30;1;FULLMAX;5W-30;;;;;;;;;;;;;;;;;;;1;OPET
52;OPET FULLMAX RN 5W-30;1;FULLMAX;5W30;;;;;;;;;;;;;;;;;;;1;OPET
53;OPET FULLMAX RN 5W-30;1;FULLLMAX;5W-30;;;;;;;;;;;;;;;;;;;1;OPET
54;OPET FULLMAX 0W-30;1;FULLMAX;0W-30;;;;;;;;;;;;;;;;;;;1;OPET
55;OPET FULLMAX 10W-40;1;FULLMAX;10W-40;;;;;;;;;;;;;;;;;;;1;OPET
56;OPET FULLMAX 10W-40;1;FULLMAX;10W40;;;;;;;;;;;;;;;;;;;1;OPET
57;OPET FULLMAX 0W-20;1;FULLMAX;0W-20;;;;;;;;;;;;;;;;;;;1;OPET
58;OPET FULLLIFE 5W-30;1;FULLLIFE;5W-30;;;;;;;;;;;;;;DPF;;;;;1;OPET
59;OPET FULLLIFE 5W-30;1;FULLLIFE;5W30;;;;;;;;;;;;;;DPF;;;;;1;OPET
60;OPET FULLLIFE DPF 5W-30;1;FULLLIFE DPF;5W-30;;;;;;;;;;;;;;;;;;;1;OPET
61;OPET FULLLIFE DPF 5W-30;1;FULLLIFE DPF;5W30;;;;;;;;;;;;;;;;;;;1;OPET
62;OPET FULLLIFE DPF 5W-30;1;FULLIFE DPF;5W30;;;;;;;;;;;;;;;;;;;1;OPET
63;OPET FULLLIFE S 10W-40;1;FULLLIFE S;10W-40;;;;;;;;;;;;;;;;;;;1;OPET
64;OPET FULLLIFE S 10W-40;1;FULLLIFE S;10W40;;;;;;;;;;;;;;;;;;;1;OPET
65;OPET FULLMASTER 10W-40;1;FULLMASTER;10W-40;;;;;;;;;;;;;;;;;;;1;OPET
66;OPET FULLMASTER TURBO 15W-40;1;FULLMASTER TURBO;15W-40;;;;;;;;;;;;;;;;;;;1;OPET
67;OPET FULLPRO HT LD3 10W-40;1;FULLPRO HT LD3;10W-40;;;;;;;;;;;;;;;;;;;1;OPET
68;OPET FULLPRO HT MSPS 10W-40;1;FULLPRO HT MSPS;10W-40;;;;;;;;;;;;;;;;;;;1;OPET
69;OPET FULLPRO HT MSPS 15W-40;1;FULLPRO HT MSPS;15W-40;;;;;;;;;;;;;;;;;;;1;OPET
70;OPET FULLPRO HT MSPS 10W-30;1;FULLPRO HT MSPS;10W-30;;;;;;;;;;;;;;;;;;;1;OPET
71;OPET FULLPRO HT LSPS 10W-40;1;FULLPRO HT LSPS;10W-40;;;;;;;;;;;;;;;;;;;1;OPET
72;OPET FULLPRO HT 10W-40;1;FULLPRO HT;10W-40;;;;;;;;;;;;;;;;;;;1;OPET
73;OPET FULLPRO HT CI-4 15W-40;1;FULLPRO HT CI-4;15W-40;;;;;;;;;;;;;;;;;;;1;OPET
74;OPET FULLPRO HT LSPS 5W-30;1;FULLPRO HT LSPS;5W-30;;;;;;;;;;;;;;;;;;;1;OPET
75;OPET FULLGEAR HYP MT 80W-90;1;FULLGEAR HYP MT;80W-90;;;;;;;;;;;;;;;;;;;1;OPET
76;OPET FULLGEAR HYP PLUS 85W-140;1;FULLGEAR HYP PLUS;85W-140;;;;;;;;;;;;;;;;;;;1;OPET
77;OPET FULLGEAR EP 80W-90;1;FULLGEAR EP;80W-90;;;;;;;;;;;;;;;;;;;1;OPET
78;OPET FULLGEAR EP 80W-90;1;80W90;GL4;;;;;;;;;;;;;;;;;;;1;OPET
79;OPET FULLGEAR HYP EP 85W-140;1;FULLGEAR HYP EP;85W-140;;;;;;;;;;;;;;;;;;;1;OPET
80;OPET FULLGEAR FRM PLUS 75W-90;1;FULLGEAR FRM PLUS;75W-90;;;;;;;;;;;;;;;;;;;1;OPET
81;OPET ATF DX VI;0;ATF DX VI;;;;;;;;;;;;;;;;;;;;1;OPET
82;OPET ATF MV;0;ATF MV;;;;;;;;;;;;;;;;;;;;1;OPET
83;OPET ATF CVT;0;ATF CVT;;;;;;;;;;;;;;;;;;;;1;OPET
84;OPET FULLGEAR HYP EP 80W-90;1;FULLGEAR HYP EP;80W-90;;;;;;;;;;;;;;;;;;;1;OPET
85;OPET FULLGEAR HYP EP 75W-90;1;FULLGEAR HYP EP;75W-90;;;;;;;;;;;;;;;;;;;1;OPET
86;OPET FULLGEAR HYP EP 75W-90;1;FULLGEAR HYP EP;75W90;;;;;;;;;;;;;;;;;;;1;OPET
87;OPET FULLGEAR HYP EP 75W-90;1;HYP EP;75W-90;;;;;;;;;;;;;;;;;;;1;OPET
88;OPET EXTENDED LIFE ANTIFREEZE;0;EXTENDED LIFE ANTIFREEZE;;;;;;;;;;;;;;;;;;;;1;OPET
89;OPET ANTIFREEZE SPECIAL;0;ANTIFREEZE SPECIAL;;;;;;;;;;;;;;;;;;;;1;OPET
90;OPET YDROLIC BREAK FLUIDS HBF DOT 4;0;YDROLIC BREAK FLUIDS HBF DOT 4;;;;;;;;;;;;;;;;;;;;1;OPET
91;OPET ARGA SUPER EP 2;0;ARGA SUPER EP 2;;;;;;;;;;;;;;;;;;;;1;OPET
92;OPET ARGA SUPER EPX 2;0;ARGA SUPER EPX 2;;;;;;;;;;;;;;;;;;;;1;OPET
93;OPET ARGA COMPLEX 2;0;ARGA COMPLEX 2;;;;;;;;;;;;;;;;;;;;1;OPET
